Time (UTC),Open,High,Low,Close,Volume
2003.05.04 21:00:00,1.12354,1.13019,1.1203,1.12804,1053162.8
2003.05.05 21:00:00,1.12798,1.1451,1.12738,1.14368,1061122.7
2003.05.06 21:00:00,1.14367,1.14448,1.13275,1.13677,1056796.6
2003.05.07 21:00:00,1.13675,1.15092,1.13026,1.15026,1058908.7
2003.05.08 21:00:00,1.15002,1.15376,1.14362,1.14907,1063989
2003.05.11 21:00:00,1.14958,1.16244,1.14946,1.15457,1056515.8
2003.05.12 21:00:00,1.15427,1.15751,1.1463,1.1515,1057731.4
2003.05.13 21:00:00,1.1519,1.15388,1.14681,1.1497,1053901.3
2003.05.14 21:00:00,1.14983,1.14988,1.13757,1.13877,1052095.2
2003.05.15 21:00:00,1.13845,1.15786,1.13691,1.15735,1060083.7
2003.05.18 21:00:00,1.16634,1.17363,1.16215,1.16596,1054386.6
2003.05.19 21:00:00,1.1659,1.17156,1.16013,1.17069,1059785.3
2003.05.20 21:00:00,1.17059,1.17453,1.16617,1.16746,1049814.8
2003.05.21 21:00:00,1.16724,1.17276,1.16192,1.16938,1043186.3
2003.05.22 21:00:00,1.16947,1.18373,1.16648,1.18266,1050209.2
2003.05.25 21:00:00,1.1827,1.18754,1.17972,1.1869,1052746
2003.05.26 21:00:00,1.1867,1.193,1.18176,1.18288,1057688.9
2003.05.27 21:00:00,1.18261,1.18453,1.17047,1.17649,1060247.7
2003.05.28 21:00:00,1.17657,1.19008,1.16917,1.18833,1045905
2003.05.29 21:00:00,1.18827,1.19158,1.17439,1.17691,1057263.3
2003.06.01 21:00:00,1.17149,1.17672,1.16524,1.17473,965518.3
2003.06.02 21:00:00,1.17496,1.17783,1.16875,1.17391,1051858.6
2003.06.03 21:00:00,1.17365,1.17473,1.16619,1.16645,1061048.5
2003.06.04 21:00:00,1.16635,1.1886,1.16287,1.18405,1051561.5
2003.06.05 21:00:00,1.18389,1.18785,1.16843,1.17001,1057574.8
2003.06.08 21:00:00,1.1694,1.17859,1.16564,1.17161,1062323.2
2003.06.09 21:00:00,1.17146,1.17415,1.16704,1.16759,1055061.3
2003.06.10 21:00:00,1.16746,1.1782,1.16581,1.17421,1069003
2003.06.11 21:00:00,1.17429,1.18058,1.17036,1.17638,1066536.1
2003.06.12 21:00:00,1.17652,1.18774,1.17354,1.1863,1051470.3
2003.06.15 21:00:00,1.18694,1.19278,1.18208,1.18356,1056294.3
2003.06.16 21:00:00,1.18386,1.18662,1.17684,1.17937,1064582.5
2003.06.17 21:00:00,1.17914,1.18039,1.16611,1.16883,1056767.2
2003.06.18 21:00:00,1.1684,1.17387,1.15836,1.17203,1060791.8
2003.06.19 21:00:00,1.172,1.17347,1.15511,1.1604,1059167.8
2003.06.22 21:00:00,1.16025,1.16033,1.15081,1.15429,1060170.2
2003.06.23 21:00:00,1.15444,1.15811,1.14766,1.15171,1055347.5
2003.06.24 21:00:00,1.15188,1.16215,1.14913,1.15398,1054439.7
2003.06.25 21:00:00,1.15449,1.15523,1.1414,1.14181,1053059.8
2003.06.26 21:00:00,1.14215,1.14675,1.13994,1.14254,1054817.4
2003.06.29 21:00:00,1.14308,1.15141,1.13974,1.15116,1048064.1
2003.06.30 21:00:00,1.15154,1.16079,1.15025,1.15608,1052733
2003.07.01 21:00:00,1.15619,1.15684,1.15049,1.15396,1051775.5
2003.07.02 21:00:00,1.15415,1.15443,1.14326,1.14945,1069768.4
2003.07.03 21:00:00,1.14935,1.15019,1.14472,1.14892,1053783.5
2003.07.06 21:00:00,1.1487,1.149,1.13132,1.13252,1058126.1
2003.07.07 21:00:00,1.13247,1.13508,1.12587,1.13151,1063074.8
2003.07.08 21:00:00,1.13177,1.13667,1.13047,1.13481,1055878.9
2003.07.09 21:00:00,1.13479,1.13924,1.13098,1.13891,1067748.9
2003.07.10 21:00:00,1.13877,1.13908,1.12759,1.1299,1058106.5
2003.07.13 21:00:00,1.12934,1.1308,1.12426,1.12779,1046253.2
2003.07.14 21:00:00,1.12777,1.13369,1.1156,1.11858,1051978.6
2003.07.15 21:00:00,1.11845,1.12315,1.11123,1.12068,1059577.3
2003.07.16 21:00:00,1.12119,1.12488,1.11562,1.12079,1062920.2
2003.07.17 21:00:00,1.12045,1.13032,1.11717,1.12746,1057879.3
2003.07.20 21:00:00,1.12685,1.13546,1.12411,1.13495,1060451.3
2003.07.21 21:00:00,1.13461,1.13734,1.13058,1.13315,1038043.9
2003.07.22 21:00:00,1.13267,1.14898,1.13139,1.14754,1067668.4
2003.07.23 21:00:00,1.14835,1.15101,1.14233,1.14695,1054340.2
2003.07.24 21:00:00,1.14749,1.15487,1.14439,1.15079,1056016
2003.07.27 21:00:00,1.15084,1.15182,1.14515,1.14909,1055906.7
2003.07.28 21:00:00,1.14947,1.1538,1.1451,1.14589,1053724.8
2003.07.29 21:00:00,1.14572,1.1461,1.13352,1.13426,1058029.1
2003.07.30 21:00:00,1.13437,1.13713,1.12237,1.12428,1063307.1
2003.07.31 21:00:00,1.1242,1.12716,1.11348,1.12541,1004982.8
2003.08.03 21:00:00,1.12843,1.13749,1.12581,1.1357,1054486.1
2003.08.04 21:00:00,1.13613,1.13976,1.13064,1.13893,1056418
2003.08.05 21:00:00,1.13867,1.14265,1.13254,1.13321,1061051.8
2003.08.06 21:00:00,1.13315,1.1415,1.13183,1.13732,1050575.4
2003.08.07 21:00:00,1.13716,1.13838,1.12866,1.13083,1059284.4
2003.08.10 21:00:00,1.12898,1.13798,1.12628,1.13582,1035460.5
